Seq,AOU,English_Common_Name,French_Common_Name,Spanish_Common_Name,ORDER,Family,Genus,Species
1055,7300,Pygmy Nuthatch,Sittelle pygmÈe,Sitta pygmaea,Passeriformes,Sittidae,Sitta,pygmaea
1048,7310,Tufted Titmouse,MÈsange bicolore,Baeolophus bicolor,Passeriformes,Paridae,Baeolophus,bicolor
1050,7315,unid. Tufted Titmouse / Black-crested Titmouse,unid MÈsange bicolore / MÈsange ‡ plumet noir,Baeolophus bicolor / atricristatus,Passeriformes,Paridae,Baeolophus,bicolor / atricristatus
1049,7320,Black-crested Titmouse,MÈsange ‡ plumet noir,Baeolophus atricristatus,Passeriformes,Paridae,Baeolophus,atricristatus
1045,7330,Oak Titmouse,MÈsange unicolore,Baeolophus inornatus,Passeriformes,Paridae,Baeolophus,inornatus
1046,7331,Juniper Titmouse,MÈsange des genÈvriers,Baeolophus ridgwayi,Passeriformes,Paridae,Baeolophus,ridgwayi
1047,7332,unid. Oak Titmouse / Juniper Titmouse,unid unid MÈsange unicolore / MÈsange des genÈvrie,Baeolophus inornatus / ridgwayi,Passeriformes,Paridae,Baeolophus,inornatus / ridgwayi
1044,7340,Bridled Titmouse,MÈsange arlequin,Baeolophus wollweberi,Passeriformes,Paridae,Baeolophus,wollweberi
1034,7350,Black-capped Chickadee,MÈsange ‡ tÍte noire,Poecile atricapillus,Passeriformes,Paridae,Poecile,atricapillus
1043,7351,unid. western chickadee species,unid MÈsange sp. de l'Ouest,Poecile sp.,Passeriformes,Paridae,Poecile,sp.
1040,7352,unid. Carolina Chickadee / Black-capped Chickadee,unid MÈsange de Caroline / MÈsange ‡ tÍte noire,Poecile carolinensis / atricapillus,Passeriformes,Paridae,Poecile,carolinensis / atricapillus
1041,7353,unid. Black-capped Chickadee / Mountain Chickadee,unid MÈsange ‡ tÍte noire / MÈsange de Gambel,Poecile atricapillus / gambeli,Passeriformes,Paridae,Poecile,atricapillus / gambeli
1042,7354,unid. Black-capped Chickadee / Boreal Chickadee,unid MÈsange ‡ tÍte noire / MÈsange ‡ tÍte brune,Poecile atricapillus / hudsonicus,Passeriformes,Paridae,Poecile,atricapillus / hudsonicus
1033,7360,Carolina Chickadee,MÈsange de Caroline,Poecile carolinensis,Passeriformes,Paridae,Poecile,carolinensis
1036,7370,Mexican Chickadee,MÈsange grise,Poecile sclateri,Passeriformes,Paridae,Poecile,sclateri
1035,7380,Mountain Chickadee,MÈsange de Gambel,Poecile gambeli,Passeriformes,Paridae,Poecile,gambeli
1038,7400,Boreal Chickadee,MÈsange ‡ tÍte brune,Poecile hudsonicus,Passeriformes,Paridae,Poecile,hudsonicus
1037,7410,Chestnut-backed Chickadee,MÈsange ‡ dos marron,Poecile rufescens,Passeriformes,Paridae,Poecile,rufescens
1114,7420,Wrentit,Cama brune,Chamaea fasciata,Passeriformes,Sylviidae,Chamaea,fasciata
1052,7430,Bushtit,MÈsange buissonniËre,Psaltriparus minimus,Passeriformes,Aegithalidae,Psaltriparus,minimus
1051,7460,Verdin,Auripare verdin,Auriparus flaviceps,Passeriformes,Remizidae,Auriparus,flaviceps
1111,7470,Arctic Warbler,Pouillot borÈal,Phylloscopus borealis,Passeriformes,Phylloscopidae,Phylloscopus,borealis
1103,7480,Golden-crowned Kinglet,Roitelet ‡ couronne dorÈe,Regulus satrapa,Passeriformes,Regulidae,Regulus,satrapa
1104,7490,Ruby-crowned Kinglet,Roitelet ‡ couronne rubis,Regulus calendula,Passeriformes,Regulidae,Regulus,calendula
1092,7510,Blue-gray Gnatcatcher,Gobemoucheron gris-bleu,Polioptila caerulea,Passeriformes,Polioptilidae,Polioptila,caerulea
1094,7520,Black-tailed Gnatcatcher,Gobemoucheron ‡ queue noire,Polioptila melanura,Passeriformes,Polioptilidae,Polioptila,melanura
1093,7530,California Gnatcatcher,Gobemoucheron de Californie,Polioptila californica,Passeriformes,Polioptilidae,Polioptila,californica
1095,7539,unid. Blue-gray / Black-tailed Gnatcatcher,unid Gobemoucheron gris-bleu / ‡ queue noire,Polioptila caerulea / melanura,Passeriformes,Polioptilidae,Polioptila,caerulea / melanura
1137,7540,Townsend's Solitaire,Solitaire de Townsend,Myadestes townsendi,Passeriformes,Turdidae,Myadestes,townsendi
1150,7550,Wood Thrush,Grive des bois,Hylocichla mustelina,Passeriformes,Turdidae,Hylocichla,mustelina
1145,7560,Veery,Grive fauve,Catharus fuscescens,Passeriformes,Turdidae,Catharus,fuscescens
1146,7570,Gray-cheeked Thrush,Grive ‡ joues grises,Catharus minimus,Passeriformes,Turdidae,Catharus,minimus
1147,7571,Bicknell's Thrush,Grive de Bicknell,Catharus bicknelli,Passeriformes,Turdidae,Catharus,bicknelli
1148,7580,Swainson's Thrush,Grive ‡ dos olive,Catharus ustulatus,Passeriformes,Turdidae,Catharus,ustulatus
1149,7590,Hermit Thrush,Grive solitaire,Catharus guttatus,Passeriformes,Turdidae,Catharus,guttatus
1163,7610,American Robin,Merle d'AmÈrique,Turdus migratorius,Passeriformes,Turdidae,Turdus,migratorius
1165,7630,Varied Thrush,Grive ‡ collier,Ixoreus naevius,Passeriformes,Turdidae,Ixoreus,naevius
1125,7640,Bluethroat,Gorgebleue ‡ miroir,Cyanecula svecica,Passeriformes,Muscicapidae,Cyanecula,svecica
1133,7650,Northern Wheatear,Traquet motteux,Oenanthe oenanthe,Passeriformes,Muscicapidae,Oenanthe,oenanthe
1134,7660,Eastern Bluebird,Merlebleu de l'Est,Sialia sialis,Passeriformes,Turdidae,Sialia,sialis
1135,7670,Western Bluebird,Merlebleu de l'Ouest,Sialia mexicana,Passeriformes,Turdidae,Sialia,mexicana
1136,7680,Mountain Bluebird,Merlebleu azurÈ,Sialia currucoides,Passeriformes,Turdidae,Sialia,currucoides
1197,8110,Scaly-breasted Munia,Capucin damier,Lonchura punctulata,Passeriformes,Estrildidae,Lonchura,punctulata
28,10210,Muscovy Duck,Canard musquÈ,Cairina moschata,Anseriformes,Anatidae,Cairina,moschata
1085,16600,Sinaloa Wren,Troglodyte du Sinaloa,Thryophilus sinaloa,Passeriformes,Troglodytidae,Thryophilus,sinaloa
1195,19500,Northern Red Bishop,Euplecte franciscain,Euplectes franciscanus,Passeriformes,Ploceidae,Euplectes,franciscanus
1196,19510,Pin-tailed Whydah,Veuve dominicaine,Vidua macroura,Passeriformes,Viduidae,Vidua,macroura
27,20630,Egyptian Goose,Ouette d'…gypte,Alopochen aegyptiaca,Anseriformes,Anatidae,Alopochen,aegyptiaca
292,21930,Purple Swamphen,TalËve sultane,Porphyrio porphyrio,Gruiformes,Rallidae,Porphyrio,porphyrio
142,22860,Eurasian Collared-Dove,Tourterelle turque,Streptopelia decaocto,Columbiformes,Columbidae,Streptopelia,decaocto
786,51830,Nanday Parakeet,Conure nanday,Aratinga nenday,Psittaciformes,Psittacidae,Aratinga,nenday
800,52021,Yellow-chevroned Parakeet,Toui ‡ ailes jaunes,Brotogeris chiriri,Psittaciformes,Psittacidae,Brotogeris,chiriri
